,y,date
0,117,2020-01-21
1,118,2020-01-22
2,118,2020-01-23
3,118,2020-01-24
4,117,2020-01-25
5,117,2020-01-26
6,118,2020-01-27
7,118,2020-01-28
8,118,2020-01-29
9,118,2020-01-30
10,118,2020-01-31
11,118,2020-02-01
12,118,2020-02-02
13,118,2020-02-03
14,118,2020-02-04
15,118,2020-02-05
16,119,2020-02-06
17,118,2020-02-07
18,118,2020-02-08
19,118,2020-02-09
20,118,2020-02-10
21,118,2020-02-11
22,118,2020-02-12
23,118,2020-02-13
24,118,2020-02-14
25,118,2020-02-15
26,118,2020-02-16
27,118,2020-02-17
28,118,2020-02-18
29,118,2020-02-19
30,118,2020-02-20
31,118,2020-02-21
32,118,2020-02-22
33,118,2020-02-23
34,119,2020-02-24
35,119,2020-02-25
36,118,2020-02-26
37,118,2020-02-27
38,119,2020-02-28
39,119,2020-02-29
40,119,2020-03-01
41,120,2020-03-02
42,120,2020-03-03
43,120,2020-03-04
44,119,2020-03-05
45,119,2020-03-06
46,118,2020-03-07
47,119,2020-03-08
48,119,2020-03-09
49,119,2020-03-10
50,120,2020-03-11
51,120,2020-03-12
52,120,2020-03-13
53,120,2020-03-14
54,120,2020-03-15
55,120,2020-03-16
56,120,2020-03-17
57,119,2020-03-18
58,119,2020-03-19
59,119,2020-03-20
60,119,2020-03-21
61,119,2020-03-22
62,118,2020-03-23
63,119,2020-03-24
64,118,2020-03-25
65,118,2020-03-26
66,118,2020-03-27
67,117,2020-03-28
68,117,2020-03-29
69,117,2020-03-30
70,118,2020-03-31
71,118,2020-04-01
72,117,2020-04-02
73,118,2020-04-03
74,119,2020-04-04
75,119,2020-04-05
76,119,2020-04-06
77,120,2020-04-07
78,120,2020-04-08
79,120,2020-04-09
80,120,2020-04-10
81,120,2020-04-11
82,120,2020-04-12
83,120,2020-04-13
84,120,2020-04-14
85,120,2020-04-15
86,121,2020-04-16
87,123,2020-04-17
88,125,2020-04-18
89,125,2020-04-19
90,125,2020-04-20
91,128,2020-04-21
92,129,2020-04-22
93,129,2020-04-23
94,130,2020-04-24
95,130,2020-04-25
96,130,2020-04-26
97,130,2020-04-27
98,132,2020-04-28
99,133,2020-04-29
100,133,2020-04-30
101,135,2020-05-01
102,135,2020-05-02
103,135,2020-05-03
104,136,2020-05-04
105,137,2020-05-05
106,138,2020-05-06
107,139,2020-05-07
108,139,2020-05-08
109,140,2020-05-09
110,140,2020-05-10
111,140,2020-05-11
112,140,2020-05-12
113,140,2020-05-13
114,140,2020-05-14
115,140,2020-05-15
116,140,2020-05-16
117,140,2020-05-17
118,140,2020-05-18
119,140,2020-05-19
120,140,2020-05-20
121,140,2020-05-21
122,140,2020-05-22
123,140,2020-05-23
124,140,2020-05-24
125,140,2020-05-25
126,140,2020-05-26
127,140,2020-05-27
128,140,2020-05-28
129,140,2020-05-29
130,140,2020-05-30
131,140,2020-05-31
132,140,2020-06-01
133,140,2020-06-02
134,140,2020-06-03
135,140,2020-06-04
136,140,2020-06-05
137,140,2020-06-06
138,140,2020-06-07
139,140,2020-06-08
140,140,2020-06-09
141,140,2020-06-10
142,140,2020-06-11
143,140,2020-06-12
144,140,2020-06-13
145,140,2020-06-14
146,140,2020-06-15
147,140,2020-06-16
148,140,2020-06-17
149,140,2020-06-18
150,140,2020-06-19
151,140,2020-06-20
152,140,2020-06-21
153,140,2020-06-22
154,140,2020-06-23
155,140,2020-06-24
156,140,2020-06-25
157,140,2020-06-26
158,140,2020-06-27
159,140,2020-06-28
160,140,2020-06-29
161,140,2020-06-30
162,140,2020-07-01
163,140,2020-07-02
164,140,2020-07-03
165,140,2020-07-04
166,140,2020-07-05
167,140,2020-07-06
168,140,2020-07-07
169,140,2020-07-08
170,140,2020-07-09
171,140,2020-07-10
172,140,2020-07-11
173,140,2020-07-12
174,140,2020-07-13
175,140,2020-07-14
176,140,2020-07-15
177,140,2020-07-16
178,140,2020-07-17
179,140,2020-07-18
180,140,2020-07-19
181,140,2020-07-20
182,140,2020-07-21
183,140,2020-07-22
184,140,2020-07-23
185,140,2020-07-24
186,139,2020-07-25
187,139,2020-07-26
188,139,2020-07-27
189,139,2020-07-28
190,138,2020-07-29
191,138,2020-07-30
192,139,2020-07-31
193,139,2020-08-01
194,139,2020-08-02
195,139,2020-08-03
196,139,2020-08-04
197,140,2020-08-05
198,139,2020-08-06
199,139,2020-08-07
200,139,2020-08-08
201,139,2020-08-09
202,140,2020-08-10
203,140,2020-08-11
204,140,2020-08-12
205,140,2020-08-13
206,140,2020-08-14
207,140,2020-08-15
208,140,2020-08-16
209,140,2020-08-17
210,140,2020-08-18
211,140,2020-08-19
212,140,2020-08-20
213,140,2020-08-21
214,141,2020-08-22
215,142,2020-08-23
216,143,2020-08-24
217,143,2020-08-25
218,145,2020-08-26
219,145,2020-08-27
220,145,2020-08-28
221,145,2020-08-29
222,145,2020-08-30
223,145,2020-08-31
224,146,2020-09-01
225,146,2020-09-02
226,146,2020-09-03
227,146,2020-09-04
228,146,2020-09-05
229,147,2020-09-06
230,148,2020-09-07
231,147,2020-09-08
232,148,2020-09-09
233,148,2020-09-10
234,148,2020-09-11
235,148,2020-09-12
236,148,2020-09-13
237,148,2020-09-14
238,148,2020-09-15
239,149,2020-09-16
240,149,2020-09-17
241,149,2020-09-18
242,149,2020-09-19
243,149,2020-09-20
244,149,2020-09-21
245,149,2020-09-22
246,149,2020-09-23
247,149,2020-09-24
248,149,2020-09-25
249,148,2020-09-26
250,149,2020-09-27
251,148,2020-09-28
252,148,2020-09-29
253,149,2020-09-30
254,149,2020-10-01
255,149,2020-10-02
256,149,2020-10-03
257,149,2020-10-04
258,149,2020-10-05
259,149,2020-10-06
260,149,2020-10-07
261,149,2020-10-08
262,149,2020-10-09
263,149,2020-10-10
264,150,2020-10-11
265,150,2020-10-12
266,150,2020-10-13
267,150,2020-10-14
268,150,2020-10-15
269,150,2020-10-16
270,150,2020-10-17
271,150,2020-10-18
272,150,2020-10-19
273,150,2020-10-20
274,150,2020-10-21
275,153,2020-10-22
276,153,2020-10-23
277,153,2020-10-24
278,154,2020-10-25
279,155,2020-10-26
280,155,2020-10-27
281,155,2020-10-28
282,155,2020-10-29
283,155,2020-10-30
284,155,2020-10-31
285,156,2020-11-01
286,156,2020-11-02
287,156,2020-11-03
288,156,2020-11-04
289,157,2020-11-05
290,157,2020-11-06
291,156,2020-11-07
292,156,2020-11-08
293,156,2020-11-09
294,157,2020-11-10
295,156,2020-11-11
296,155,2020-11-12
297,156,2020-11-13
298,157,2020-11-14
299,157,2020-11-15
300,157,2020-11-16
301,157,2020-11-17
302,156,2020-11-18
303,158,2020-11-19
304,158,2020-11-20
305,159,2020-11-21
306,159,2020-11-22
307,159,2020-11-23
308,159,2020-11-24
309,159,2020-11-25
310,160,2020-11-26
311,160,2020-11-27
312,160,2020-11-28
313,161,2020-11-29
314,161,2020-11-30
315,162,2020-12-01
316,163,2020-12-02
317,163,2020-12-03
318,164,2020-12-04
319,164,2020-12-05
320,165,2020-12-06
321,165,2020-12-07
322,165,2020-12-08
323,167,2020-12-09
324,167,2020-12-10
325,168,2020-12-11
326,168,2020-12-12
327,169,2020-12-13
328,170,2020-12-14
329,172,2020-12-15
330,174,2020-12-16
331,175,2020-12-17
332,177,2020-12-18
333,180,2020-12-19
334,180,2020-12-20
335,182,2020-12-21
336,183,2020-12-22
337,185,2020-12-23
338,185,2020-12-24
339,187,2020-12-25
340,188,2020-12-26
341,189,2020-12-27
342,190,2020-12-28
343,190,2020-12-29
344,192,2020-12-30
345,194,2020-12-31
346,195,2021-01-01
347,195,2021-01-02
348,196,2021-01-03
349,198,2021-01-04
350,200,2021-01-05
351,200,2021-01-06
352,200,2021-01-07
353,203,2021-01-08
354,205,2021-01-09
355,208,2021-01-10
356,210,2021-01-11
357,213,2021-01-12
358,215,2021-01-13
359,220,2021-01-14
360,226,2021-01-15
361,231,2021-01-16
362,240,2021-01-17
363,249,2021-01-18
364,252,2021-01-19
365,260,2021-01-20
366,262,2021-01-21
367,265,2021-01-22
368,270,2021-01-23
369,271,2021-01-24
370,275,2021-01-25
371,280,2021-01-26
372,281,2021-01-27
373,287,2021-01-28
374,290,2021-01-29
375,294,2021-01-30
376,296,2021-01-31
377,298,2021-02-01
378,300,2021-02-02
379,302,2021-02-03
380,305,2021-02-04
381,308,2021-02-05
382,310,2021-02-06
383,310,2021-02-07
384,312,2021-02-08
385,314,2021-02-09
386,315,2021-02-10
387,315,2021-02-11
388,317,2021-02-12
389,320,2021-02-13
390,323,2021-02-14
391,325,2021-02-15
392,329,2021-02-16
393,331,2021-02-17
394,335,2021-02-18
395,337,2021-02-19
396,345,2021-02-20
397,350,2021-02-21
398,355,2021-02-22
399,361,2021-02-23
400,367,2021-02-24
401,372,2021-02-25
402,375,2021-02-26
403,385,2021-02-27
404,390,2021-02-28
405,397,2021-03-01
406,400,2021-03-02
407,405,2021-03-03
408,410,2021-03-04
409,412,2021-03-05
410,415,2021-03-06
411,416,2021-03-07
412,419,2021-03-08
413,420,2021-03-09
414,421,2021-03-10
415,425,2021-03-11
416,425,2021-03-12
417,427,2021-03-13
418,429,2021-03-14
419,431,2021-03-15
420,431,2021-03-16
421,435,2021-03-17
422,438,2021-03-18
423,439,2021-03-19
424,440,2021-03-20
425,440,2021-03-21
426,441,2021-03-22
427,442,2021-03-23
428,444,2021-03-24
429,445,2021-03-25
430,444,2021-03-26
431,445,2021-03-27
432,445,2021-03-28
433,445,2021-03-29
434,449,2021-03-30
435,450,2021-03-31
436,450,2021-04-01
437,450,2021-04-02
438,450,2021-04-03
439,455,2021-04-04
440,455,2021-04-05
441,460,2021-04-06
442,461,2021-04-07
443,462,2021-04-08
444,465,2021-04-09
445,465,2021-04-10
446,466,2021-04-11
447,467,2021-04-12
448,470,2021-04-13
449,470,2021-04-14
450,473,2021-04-15
451,473,2021-04-16
452,475,2021-04-17
453,475,2021-04-18
454,475,2021-04-19
455,475,2021-04-20
456,475,2021-04-21
457,477,2021-04-22
458,479,2021-04-23
459,480,2021-04-24
460,480,2021-04-25
461,480,2021-04-26
462,481,2021-04-27
463,483,2021-04-28
464,485,2021-04-29
465,485,2021-04-30
466,485,2021-05-01
467,485,2021-05-02
468,485,2021-05-03
469,485,2021-05-04
470,485,2021-05-05
471,487,2021-05-06
472,486,2021-05-07
473,487,2021-05-08
474,489,2021-05-09
475,490,2021-05-10
476,492,2021-05-11
477,495,2021-05-12
478,497,2021-05-13
479,499,2021-05-14
480,500,2021-05-15
481,500,2021-05-16
482,500,2021-05-17
483,501,2021-05-18
484,502,2021-05-19
485,505,2021-05-20
486,505,2021-05-21
487,505,2021-05-22
488,505,2021-05-23
489,505,2021-05-24
490,505,2021-05-25
491,505,2021-05-26
492,505,2021-05-27
493,505,2021-05-28
494,504,2021-05-29
495,503,2021-05-30
496,501,2021-05-31
497,501,2021-06-01
498,501,2021-06-02
499,501,2021-06-03
500,500,2021-06-04
501,500,2021-06-05
502,500,2021-06-06
503,500,2021-06-07
504,499,2021-06-08
505,494,2021-06-09
506,490,2021-06-10
507,484,2021-06-11
508,476,2021-06-12
509,471,2021-06-13
510,466,2021-06-14
511,461,2021-06-15
512,458,2021-06-16
513,455,2021-06-17
514,453,2021-06-18
515,450,2021-06-19
516,449,2021-06-20
517,445,2021-06-21
518,441,2021-06-22
519,440,2021-06-23
520,435,2021-06-24
521,434,2021-06-25
522,431,2021-06-26
523,430,2021-06-27
524,428,2021-06-28
525,426,2021-06-29
526,425,2021-06-30
527,423,2021-07-01
528,420,2021-07-02
529,419,2021-07-03
530,415,2021-07-04
531,414,2021-07-05
532,410,2021-07-06
533,407,2021-07-07
534,404,2021-07-08
535,400,2021-07-09
536,400,2021-07-10
537,396,2021-07-11
538,393,2021-07-12
539,390,2021-07-13
540,389,2021-07-14
541,385,2021-07-15
542,384,2021-07-16
543,380,2021-07-17
544,379,2021-07-18
545,375,2021-07-19
546,375,2021-07-20
547,372,2021-07-21
548,370,2021-07-22
549,366,2021-07-23
550,365,2021-07-24
551,364,2021-07-25
552,363,2021-07-26
553,361,2021-07-27
554,360,2021-07-28
555,360,2021-07-29
556,360,2021-07-30
557,360,2021-07-31
558,359,2021-08-01
559,358,2021-08-02
560,358,2021-08-03
561,359,2021-08-04
562,358,2021-08-05
563,359,2021-08-06
564,358,2021-08-07
565,359,2021-08-08
566,359,2021-08-09
567,359,2021-08-10
568,359,2021-08-11
569,360,2021-08-12
570,360,2021-08-13
571,360,2021-08-14
572,360,2021-08-15
573,360,2021-08-16
574,362,2021-08-17
575,363,2021-08-18
576,365,2021-08-19
577,366,2021-08-20
578,367,2021-08-21
579,370,2021-08-22
580,371,2021-08-23
581,374,2021-08-24
582,375,2021-08-25
583,380,2021-08-26
584,382,2021-08-27
585,385,2021-08-28
586,388,2021-08-29
587,390,2021-08-30
588,395,2021-08-31
589,398,2021-09-01
590,399,2021-09-02
591,400,2021-09-03
592,401,2021-09-04
593,402,2021-09-05
594,405,2021-09-06
595,406,2021-09-07
596,410,2021-09-08
597,410,2021-09-09
598,411,2021-09-10
599,412,2021-09-11
600,414,2021-09-12
601,415,2021-09-13
602,415,2021-09-14
603,416,2021-09-15
604,418,2021-09-16
605,420,2021-09-17
606,420,2021-09-18
607,421,2021-09-19
608,423,2021-09-20
609,424,2021-09-21
610,425,2021-09-22
611,425,2021-09-23
612,426,2021-09-24
613,427,2021-09-25
614,428,2021-09-26
615,429,2021-09-27
616,429,2021-09-28
617,429,2021-09-29
618,430,2021-09-30
619,428,2021-10-01
620,430,2021-10-02
621,430,2021-10-03
622,430,2021-10-04
623,430,2021-10-05
624,430,2021-10-06
625,429,2021-10-07
626,428,2021-10-08
627,427,2021-10-09
628,427,2021-10-10
629,426,2021-10-11
630,425,2021-10-12
631,425,2021-10-13
632,425,2021-10-14
633,425,2021-10-15
634,425,2021-10-16
635,424,2021-10-17
636,423,2021-10-18
637,422,2021-10-19
638,421,2021-10-20
639,423,2021-10-21
640,423,2021-10-22
641,424,2021-10-23
642,424,2021-10-24
643,425,2021-10-25
644,425,2021-10-26
645,425,2021-10-27
646,426,2021-10-28
647,429,2021-10-29
648,430,2021-10-30
649,430,2021-10-31
650,430,2021-11-01
651,430,2021-11-02
652,431,2021-11-03
653,431,2021-11-04
654,432,2021-11-05
655,435,2021-11-06
656,435,2021-11-07
657,435,2021-11-08
658,435,2021-11-09
659,438,2021-11-10
660,440,2021-11-11
661,441,2021-11-12
662,445,2021-11-13
663,446,2021-11-14
664,446,2021-11-15
665,449,2021-11-16
666,450,2021-11-17
667,450,2021-11-18
668,450,2021-11-19
669,450,2021-11-20
670,450,2021-11-21
671,450,2021-11-22
672,450,2021-11-23
673,450,2021-11-24
674,451,2021-11-25
675,452,2021-11-26
676,451,2021-11-27
677,450,2021-11-28
678,450,2021-11-29
679,451,2021-11-30
680,450,2021-12-01
681,450,2021-12-02
682,450,2021-12-03
683,451,2021-12-04
684,450,2021-12-05
685,450,2021-12-06
686,450,2021-12-07
687,450,2021-12-08
688,450,2021-12-09
689,451,2021-12-10
690,451,2021-12-11
691,450,2021-12-12
692,450,2021-12-13
693,450,2021-12-14
694,450,2021-12-15
695,450,2021-12-16
696,448,2021-12-17
697,446,2021-12-18
698,445,2021-12-19
699,444,2021-12-20
700,444,2021-12-21
701,443,2021-12-22
702,442,2021-12-23
703,441,2021-12-24
704,441,2021-12-25
705,440,2021-12-26
706,440,2021-12-27
707,440,2021-12-28
708,440,2021-12-29
709,439,2021-12-30
710,439,2021-12-31
711,437,2022-01-01
712,436,2022-01-02
713,436,2022-01-03
714,435,2022-01-04
715,433,2022-01-05
716,431,2022-01-06
717,430,2022-01-07
718,426,2022-01-08
719,425,2022-01-09
720,425,2022-01-10
721,422,2022-01-11
722,420,2022-01-12
723,420,2022-01-13
724,418,2022-01-14
725,416,2022-01-15
726,415,2022-01-16
727,415,2022-01-17
728,413,2022-01-18
729,411,2022-01-19
730,410,2022-01-20
731,410,2022-01-21
732,408,2022-01-22
733,405,2022-01-23
734,404,2022-01-24
735,400,2022-01-25
736,400,2022-01-26
737,400,2022-01-27
738,398,2022-01-28
739,395,2022-01-29
740,392,2022-01-30
741,390,2022-01-31
742,388,2022-02-01
743,385,2022-02-02
744,382,2022-02-03
745,380,2022-02-04
746,378,2022-02-05
747,375,2022-02-06
748,370,2022-02-07
749,368,2022-02-08
750,365,2022-02-09
751,363,2022-02-10
752,361,2022-02-11
753,360,2022-02-12
754,357,2022-02-13
755,355,2022-02-14
756,352,2022-02-15
757,351,2022-02-16
758,350,2022-02-17
759,350,2022-02-18
760,348,2022-02-19
761,346,2022-02-20
762,345,2022-02-21
763,342,2022-02-22
764,342,2022-02-23
765,340,2022-02-24
766,340,2022-02-25
767,338,2022-02-26
768,336,2022-02-27
769,335,2022-02-28
770,332,2022-03-01
771,330,2022-03-02
772,330,2022-03-03
773,327,2022-03-04
774,325,2022-03-05
775,325,2022-03-06
776,324,2022-03-07
777,320,2022-03-08
778,320,2022-03-09
779,320,2022-03-10
780,318,2022-03-11
781,317,2022-03-12
782,315,2022-03-13
783,315,2022-03-14
784,313,2022-03-15
785,312,2022-03-16
786,311,2022-03-17
787,310,2022-03-18
788,308,2022-03-19
789,306,2022-03-20
790,305,2022-03-21
791,305,2022-03-22
792,301,2022-03-23
793,300,2022-03-24
794,300,2022-03-25
795,299,2022-03-26
796,299,2022-03-27
797,297,2022-03-28
798,296,2022-03-29
799,296,2022-03-30
800,295,2022-03-31
801,294,2022-04-01
802,292,2022-04-02
803,291,2022-04-03
804,291,2022-04-04
805,290,2022-04-05
806,289,2022-04-06
807,287,2022-04-07
808,285,2022-04-08
809,283,2022-04-09
810,281,2022-04-10
811,280,2022-04-11
812,279,2022-04-12
813,279,2022-04-13
814,275,2022-04-14
815,274,2022-04-15
816,273,2022-04-16
817,272,2022-04-17
818,271,2022-04-18
819,271,2022-04-19
820,270,2022-04-20
821,270,2022-04-21
822,268,2022-04-22
823,268,2022-04-23
824,266,2022-04-24
825,265,2022-04-25
826,265,2022-04-26
827,265,2022-04-27
828,263,2022-04-28
829,262,2022-04-29
830,260,2022-04-30
831,260,2022-05-01
832,259,2022-05-02
833,258,2022-05-03
834,258,2022-05-04
835,257,2022-05-05
836,257,2022-05-06
837,255,2022-05-07
838,253,2022-05-08
839,252,2022-05-09
840,250,2022-05-10
841,250,2022-05-11
842,248,2022-05-12
843,248,2022-05-13
844,247,2022-05-14
845,246,2022-05-15
846,244,2022-05-16
847,242,2022-05-17
848,240,2022-05-18
849,236,2022-05-19
850,233,2022-05-20
851,231,2022-05-21
852,230,2022-05-22
853,228,2022-05-23
854,225,2022-05-24
855,225,2022-05-25
856,223,2022-05-26
857,221,2022-05-27
858,220,2022-05-28
859,218,2022-05-29
860,214,2022-05-30
861,212,2022-05-31
862,210,2022-06-01
863,209,2022-06-02
864,204,2022-06-03
865,201,2022-06-04
866,200,2022-06-05
867,198,2022-06-06
868,195,2022-06-07
869,193,2022-06-08
870,190,2022-06-09
871,187,2022-06-10
872,185,2022-06-11
873,183,2022-06-12
874,180,2022-06-13
875,180,2022-06-14
876,178,2022-06-15
877,176,2022-06-16
878,175,2022-06-17
879,174,2022-06-18
880,172,2022-06-19
881,170,2022-06-20
882,168,2022-06-21
883,166,2022-06-22
884,165,2022-06-23
885,163,2022-06-24
886,161,2022-06-25
887,160,2022-06-26
888,160,2022-06-27
889,159,2022-06-28
890,157,2022-06-29
891,156,2022-06-30
892,155,2022-07-01
893,154,2022-07-02
894,154,2022-07-03
895,153,2022-07-04
896,153,2022-07-05
897,153,2022-07-06
898,152,2022-07-07
899,152,2022-07-08
900,151,2022-07-09
901,151,2022-07-10
902,150,2022-07-11
903,150,2022-07-12
904,150,2022-07-13
905,149,2022-07-14
906,148,2022-07-15
907,148,2022-07-16
908,147,2022-07-17
909,145,2022-07-18
910,145,2022-07-19
911,144,2022-07-20
912,143,2022-07-21
913,143,2022-07-22
914,143,2022-07-23
915,142,2022-07-24
916,142,2022-07-25
917,141,2022-07-26
918,140,2022-07-27
919,140,2022-07-28
920,140,2022-07-29
921,140,2022-07-30
922,140,2022-07-31
923,140,2022-08-01
924,140,2022-08-02
925,140,2022-08-03
926,140,2022-08-04
927,139,2022-08-05
928,139,2022-08-06
929,139,2022-08-07
930,139,2022-08-08
931,138,2022-08-09
932,137,2022-08-10
933,137,2022-08-11
934,138,2022-08-12
935,139,2022-08-13
936,140,2022-08-14
937,140,2022-08-15
938,140,2022-08-16
939,140,2022-08-17
940,140,2022-08-18
941,140,2022-08-19
942,140,2022-08-20
943,139,2022-08-21
