,y,date
0,515,2020-01-22
1,490,2020-01-23
2,500,2020-01-24
3,500,2020-01-25
4,500,2020-01-26
5,515,2020-01-27
6,500,2020-01-28
7,500,2020-01-29
8,515,2020-01-30
9,516,2020-01-31
10,516,2020-02-01
11,516,2020-02-02
12,515,2020-02-03
13,515,2020-02-04
14,515,2020-02-05
15,515,2020-02-06
16,510,2020-02-07
17,505,2020-02-08
18,505,2020-02-09
19,505,2020-02-10
20,505,2020-02-11
21,510,2020-02-12
22,510,2020-02-13
23,510,2020-02-14
24,510,2020-02-15
25,510,2020-02-16
26,510,2020-02-17
27,510,2020-02-18
28,505,2020-02-19
29,510,2020-02-20
30,510,2020-02-21
31,516,2020-02-22
32,516,2020-02-23
33,525,2020-02-24
34,530,2020-02-25
35,531,2020-02-26
36,540,2020-02-27
37,540,2020-02-28
38,540,2020-02-29
39,569,2020-03-01
40,570,2020-03-02
41,570,2020-03-03
42,580,2020-03-04
43,580,2020-03-05
44,580,2020-03-06
45,580,2020-03-07
46,585,2020-03-08
47,585,2020-03-09
48,585,2020-03-10
49,585,2020-03-11
50,585,2020-03-12
51,590,2020-03-13
52,585,2020-03-14
53,585,2020-03-15
54,590,2020-03-16
55,590,2020-03-17
56,585,2020-03-18
57,585,2020-03-19
58,590,2020-03-20
59,590,2020-03-21
60,585,2020-03-22
61,590,2020-03-23
62,590,2020-03-24
63,585,2020-03-25
64,580,2020-03-26
65,575,2020-03-27
66,575,2020-03-28
67,560,2020-03-29
68,548,2020-03-30
69,550,2020-03-31
70,545,2020-04-01
71,545,2020-04-02
72,540,2020-04-03
73,540,2020-04-04
74,530,2020-04-05
75,530,2020-04-06
76,530,2020-04-07
77,530,2020-04-08
78,530,2020-04-09
79,530,2020-04-10
80,530,2020-04-11
81,530,2020-04-12
82,530,2020-04-13
83,530,2020-04-14
84,530,2020-04-15
85,530,2020-04-16
86,523,2020-04-17
87,523,2020-04-18
88,520,2020-04-19
89,515,2020-04-20
90,515,2020-04-21
91,515,2020-04-22
92,515,2020-04-23
93,515,2020-04-24
94,515,2020-04-25
95,515,2020-04-26
96,515,2020-04-27
97,530,2020-04-28
98,530,2020-04-29
99,515,2020-04-30
100,520,2020-05-01
101,515,2020-05-02
102,520,2020-05-03
103,520,2020-05-04
104,523,2020-05-05
105,530,2020-05-06
106,525,2020-05-07
107,530,2020-05-08
108,531,2020-05-09
109,550,2020-05-10
110,531,2020-05-11
111,555,2020-05-12
112,555,2020-05-13
113,560,2020-05-14
114,560,2020-05-15
115,565,2020-05-16
116,570,2020-05-17
117,590,2020-05-18
118,591,2020-05-19
119,591,2020-05-20
120,591,2020-05-21
121,600,2020-05-22
122,610,2020-05-23
123,600,2020-05-24
124,600,2020-05-25
125,610,2020-05-26
126,600,2020-05-27
127,600,2020-05-28
128,614,2020-05-29
129,625,2020-05-30
130,630,2020-05-31
131,635,2020-06-01
132,640,2020-06-02
133,640,2020-06-03
134,640,2020-06-04
135,645,2020-06-05
136,645,2020-06-06
137,645,2020-06-07
138,650,2020-06-08
139,650,2020-06-09
140,650,2020-06-10
141,650,2020-06-11
142,660,2020-06-12
143,660,2020-06-13
144,650,2020-06-14
145,660,2020-06-15
146,660,2020-06-16
147,660,2020-06-17
148,660,2020-06-18
149,640,2020-06-19
150,640,2020-06-20
151,640,2020-06-21
152,640,2020-06-22
153,645,2020-06-23
154,663,2020-06-24
155,665,2020-06-25
156,666,2020-06-26
157,679,2020-06-27
158,679,2020-06-28
159,680,2020-06-29
160,680,2020-06-30
161,680,2020-07-01
162,680,2020-07-02
163,680,2020-07-03
164,680,2020-07-04
165,680,2020-07-05
166,680,2020-07-06
167,685,2020-07-07
168,685,2020-07-08
169,690,2020-07-09
170,699,2020-07-10
171,699,2020-07-11
172,699,2020-07-12
173,699,2020-07-13
174,700,2020-07-14
175,700,2020-07-15
176,699,2020-07-16
177,700,2020-07-17
178,700,2020-07-18
179,700,2020-07-19
180,720,2020-07-20
181,701,2020-07-21
182,720,2020-07-22
183,720,2020-07-23
184,725,2020-07-24
185,725,2020-07-25
186,725,2020-07-26
187,730,2020-07-27
188,743,2020-07-28
189,749,2020-07-29
190,749,2020-07-30
191,749,2020-07-31
192,750,2020-08-01
193,750,2020-08-02
194,750,2020-08-03
195,750,2020-08-04
196,750,2020-08-05
197,750,2020-08-06
198,750,2020-08-07
199,750,2020-08-08
200,750,2020-08-09
201,750,2020-08-10
202,760,2020-08-11
203,761,2020-08-12
204,789,2020-08-13
205,800,2020-08-14
206,800,2020-08-15
207,800,2020-08-16
208,800,2020-08-17
209,800,2020-08-18
210,800,2020-08-19
211,810,2020-08-20
212,810,2020-08-21
213,816,2020-08-22
214,820,2020-08-23
215,821,2020-08-24
216,821,2020-08-25
217,833,2020-08-26
218,838,2020-08-27
219,845,2020-08-28
220,848,2020-08-29
221,850,2020-08-30
222,860,2020-08-31
223,860,2020-09-01
224,860,2020-09-02
225,860,2020-09-03
226,860,2020-09-04
227,860,2020-09-05
228,860,2020-09-06
229,860,2020-09-07
230,850,2020-09-08
231,850,2020-09-09
232,850,2020-09-10
233,860,2020-09-11
234,860,2020-09-12
235,860,2020-09-13
236,850,2020-09-14
237,850,2020-09-15
238,850,2020-09-16
239,850,2020-09-17
240,850,2020-09-18
241,849,2020-09-19
242,830,2020-09-20
243,820,2020-09-21
244,820,2020-09-22
245,815,2020-09-23
246,811,2020-09-24
247,811,2020-09-25
248,815,2020-09-26
249,810,2020-09-27
250,810,2020-09-28
251,810,2020-09-29
252,810,2020-09-30
