,y,date
0,460,2020-01-25
1,460,2020-01-26
2,460,2020-01-27
3,460,2020-01-28
4,460,2020-01-29
5,460,2020-01-30
6,460,2020-01-31
7,460,2020-02-01
8,460,2020-02-02
9,478,2020-02-03
10,478,2020-02-04
11,478,2020-02-05
12,478,2020-02-06
13,478,2020-02-07
14,478,2020-02-08
15,478,2020-02-09
16,478,2020-02-10
17,478,2020-02-11
18,478,2020-02-12
19,465,2020-02-13
20,465,2020-02-14
21,465,2020-02-15
22,465,2020-02-16
23,465,2020-02-17
24,465,2020-02-18
25,465,2020-02-19
26,465,2020-02-20
27,465,2020-02-21
28,465,2020-02-22
29,465,2020-02-23
30,465,2020-02-24
31,465,2020-02-25
32,457,2020-02-26
33,457,2020-02-27
34,450,2020-02-28
35,450,2020-02-29
36,450,2020-03-01
37,452,2020-03-02
38,452,2020-03-03
39,450,2020-03-04
40,450,2020-03-05
41,452,2020-03-06
42,452,2020-03-07
43,450,2020-03-08
44,450,2020-03-09
45,450,2020-03-10
46,450,2020-03-11
47,450,2020-03-12
48,450,2020-03-13
49,450,2020-03-14
50,450,2020-03-15
51,450,2020-03-16
52,450,2020-03-17
53,450,2020-03-18
54,450,2020-03-19
55,440,2020-03-20
56,440,2020-03-21
57,440,2020-03-22
58,440,2020-03-23
59,440,2020-03-24
60,440,2020-03-25
61,440,2020-03-26
62,440,2020-03-27
63,445,2020-03-28
64,440,2020-03-29
65,440,2020-03-30
66,440,2020-03-31
67,440,2020-04-01
68,440,2020-04-02
69,440,2020-04-03
70,440,2020-04-04
71,440,2020-04-05
72,440,2020-04-06
73,437,2020-04-07
74,440,2020-04-08
75,440,2020-04-09
76,440,2020-04-10
77,440,2020-04-11
78,437,2020-04-12
79,445,2020-04-13
80,445,2020-04-14
81,445,2020-04-15
82,464,2020-04-16
83,480,2020-04-17
84,480,2020-04-18
85,480,2020-04-19
86,480,2020-04-20
87,480,2020-04-21
88,480,2020-04-22
89,480,2020-04-23
90,480,2020-04-24
91,480,2020-04-25
92,480,2020-04-26
93,480,2020-04-27
94,488,2020-04-28
95,488,2020-04-29
96,488,2020-04-30
97,488,2020-05-01
98,500,2020-05-02
99,500,2020-05-03
100,500,2020-05-04
101,500,2020-05-05
102,500,2020-05-06
103,500,2020-05-07
104,500,2020-05-08
105,500,2020-05-09
106,500,2020-05-10
107,500,2020-05-11
108,500,2020-05-12
109,500,2020-05-13
110,500,2020-05-14
111,500,2020-05-15
112,500,2020-05-16
113,500,2020-05-17
114,500,2020-05-18
115,500,2020-05-19
116,500,2020-05-20
117,500,2020-05-21
118,500,2020-05-22
119,500,2020-05-23
120,500,2020-05-24
121,500,2020-05-25
122,500,2020-05-26
123,500,2020-05-27
124,500,2020-05-28
125,500,2020-05-29
126,500,2020-05-30
127,500,2020-05-31
128,500,2020-06-01
129,500,2020-06-02
130,500,2020-06-03
131,500,2020-06-04
132,500,2020-06-05
133,500,2020-06-06
134,500,2020-06-07
135,500,2020-06-08
136,507,2020-06-09
137,510,2020-06-10
138,510,2020-06-11
139,510,2020-06-12
140,515,2020-06-13
141,520,2020-06-14
142,527,2020-06-15
143,520,2020-06-16
144,520,2020-06-17
145,520,2020-06-18
146,515,2020-06-19
147,515,2020-06-20
148,510,2020-06-21
149,505,2020-06-22
150,507,2020-06-23
151,507,2020-06-24
152,505,2020-06-25
153,500,2020-06-26
154,505,2020-06-27
155,500,2020-06-28
